left_EAR,right_EAR,avg_EAR,EAR_diff,MAR,mouth_open_ratio,eye_area_ratio,head_tilt,face_AR,label
0.5531783636933517,0.4809435940929416,0.5170609788931466,0.07223476960041014,0.3825787825705133,0.000295827969302459,0.04559957035212974,0.1384591763064622,0.42413253408895735,0
0.5568706488709393,0.4913305246403139,0.5241005867556265,0.06554012423062539,0.38314404640992655,0.0006537007214397135,0.045945353026099894,0.14179287448826183,0.4248985650458969,0
0.5596010261144393,0.4902256034247011,0.5249133147695701,0.06937542268973818,0.3849284851291277,0.0009151456656263633,0.04640898519822502,0.1418545837548971,0.42483735964745656,0
0.5522971457572471,0.48608676842164605,0.5191919570894465,0.06621037733560103,0.3837092773972424,0.0008360384495481049,0.0459120742304473,0.14506840771815838,0.4244403302769619,0
0.5500230947789563,0.4739927711177013,0.5120079329483288,0.076030323661255,0.3841775123981729,0.0006646432299510481,0.04524183477727393,0.14213852478991015,0.42541798007782317,0
0.5485314600880301,0.48985773141001937,0.5191945957490247,0.05867372867801074,0.3853057136335752,0.0007032462628714381,0.04563191625928493,0.13857281002670802,0.4256813310002219,0
0.5615505015517362,0.4828906125102722,0.5222205570310042,0.07865988904146404,0.3849601214211002,0.0007061754662806101,0.04570044653936972,0.1393779719890349,0.4255150049429734,0
0.568188368152142,0.48367791632018264,0.5259331422361624,0.08451045183195938,0.3834539667476635,0.00029270912675125223,0.04610631037453371,0.1392353994052225,0.4251232235420961,0
0.555381144179549,0.492011329823655,0.523696237001602,0.063369814355894,0.3827549763840535,0.00023677220650408854,0.04567256912162911,0.13393556161575632,0.4248321616655071,0
0.5404999966377684,0.5030062625194276,0.521753129578598,0.03749373411834078,0.3840187781472142,0.0002291533693336522,0.045569438482804175,0.1290220358417301,0.4248643789761028,0
0.5241642583699699,0.49128383908609513,0.5077240487280326,0.03288041928387481,0.3828435086788508,9.777405572861992e-05,0.04453334079653515,0.12915990778158312,0.4251101314287454,0
0.505983342130063,0.4881606974477416,0.4970720197889023,0.01782264468232142,0.3831309294176918,8.604102260079736e-05,0.04383218574737901,0.13123688998510188,0.4263952204318937,0
0.5190338950609706,0.47916179170398543,0.49909784338247803,0.03987210335698521,0.3843317291422969,0.0002958269203367792,0.04405243385417901,0.1385677325618753,0.4274763984215628,0
0.5604356506333044,0.4660588259566777,0.5132472382949911,0.09437682467662667,0.3839455705995579,0.0002597933928231147,0.04451597296274047,0.1345603704910696,0.42721656567678357,0
0.519286021887419,0.45074951460780877,0.4850177682476139,0.06853650727961025,0.38279204799197225,0.0001352412409094557,0.04011401564150993,0.13636341473031235,0.426798797260227,0
0.5566579096535036,0.46779511727938056,0.5122265134664421,0.08886279237412303,0.3826054553504105,0.0002418999648994967,0.04286076421161369,0.13975651015627577,0.4273516989994397,0
0.5709882831903098,0.49858382608895196,0.5347860546396309,0.07240445710135784,0.383009733640265,0.00020695251063794823,0.04470749449129229,0.14087095598398577,0.42577593562119953,0
0.5903997921116511,0.505164893454423,0.5477823427830371,0.08523489865722811,0.38513575924645094,0.0006113618945232281,0.04579888803118048,0.13198580320876618,0.4238926215020618,0
0.6078818818692113,0.5205281121638041,0.5642049970165077,0.0873537697054072,0.3847205837710816,0.0006721562055610914,0.04714525627160598,0.1299323066799222,0.4236459474852736,0
0.5841688422618517,0.5012724127845678,0.5427206275232097,0.08289642947728393,0.3869566409248977,0.0014036117862005013,0.04518927027232314,0.12496442307720093,0.42404040780775315,0
0.5786524282283696,0.5019624375920861,0.5403074329102279,0.07668999063628346,0.3880082659389539,0.0019055829441036632,0.04512361023305651,0.12415977167944994,0.4244138818797775,0
0.5746295672861526,0.498894807439862,0.5367621873630073,0.07573475984629058,0.3888227553632109,0.0020272656410827566,0.04490690963473189,0.1267534224207786,0.42453408297177664,0
0.5474268957646246,0.4948128870416513,0.5211198914031379,0.05261400872297328,0.38814826313709094,0.0017645775720122499,0.04368839059663564,0.12804581333776682,0.42425183009233436,0
0.5376205936311963,0.5118628132584313,0.5247417034448139,0.025757780372764993,0.38565108441332896,0.0010646753789089714,0.04453286553889361,0.13916917643440233,0.42566853584159825,0
0.5224226597147189,0.519650898311119,0.5210367790129189,0.002771761403599915,0.3852924650615702,0.0010503435272030894,0.04435828201721666,0.14771115838164914,0.4267717113839158,0
0.5420869417373171,0.5011387251184369,0.521612833427877,0.04094821661888015,0.3861436636814194,0.0009843389437327234,0.044306813902296585,0.1502709427939659,0.4255404736958667,0
0.5778942426781254,0.49856734583207923,0.5382307942551023,0.07932689684604616,0.386062087155935,0.0011859378964865306,0.04540049767535651,0.1573781722458226,0.42692207901498497,0
0.5729243637224151,0.5003177324323347,0.5366210480773749,0.07260663129008038,0.3856460585191924,0.0010909699104892053,0.04551013807152196,0.16287435962823524,0.4277622144294193,0
0.5844490584151478,0.5041857249506552,0.5443173916829015,0.08026333346449266,0.3854951749316934,0.0009093714583584832,0.046065878339931615,0.1715398751450168,0.4278980282391057,0
0.5774448319094745,0.49499283523684184,0.5362188335731581,0.08245199667263264,0.3840664295659703,0.0006348332344025023,0.04512483008633567,0.17528642029730312,0.42788164624724645,0
